Order ID,Date,Product Name,Category,Region,Sales Rep,Units Sold,Unit Price,Cost Price,Revenue,Profit
1001,2024-01-03,Wireless Mouse,Electronics,North,Ravi Kumar,12,850,500,10200,4200
1002,2024-01-05,Office Chair,Furniture,South,Priya Sharma,3,7500,5000,22500,7500
1003,2024-01-08,Notebook A4,Stationery,East,Anil Reddy,50,120,60,6000,3000
1004,2024-01-10,USB-C Hub,Electronics,West,Sneha Patel,8,1200,700,9600,4000
1005,2024-01-12,Standing Desk,Furniture,North,Ravi Kumar,2,18000,12000,36000,12000
1006,2024-01-15,Ballpoint Pens (Pack),Stationery,South,Priya Sharma,30,200,80,6000,3600
1007,2024-01-18,Laptop Stand,Electronics,East,Anil Reddy,10,2200,1300,22000,9000
1008,2024-01-20,File Cabinet,Furniture,West,Sneha Patel,1,9500,6500,9500,3000
1009,2024-01-22,Sticky Notes Pack,Stationery,North,Ravi Kumar,60,150,60,9000,5400
1010,2024-01-25,Mechanical Keyboard,Electronics,South,Priya Sharma,6,3500,2000,21000,9000
1011,2024-02-02,Wireless Mouse,Electronics,East,Anil Reddy,15,850,500,12750,5250
1012,2024-02-04,Bookshelf,Furniture,West,Sneha Patel,2,6500,4200,13000,4600
1013,2024-02-07,Highlighters Set,Stationery,North,Ravi Kumar,40,180,75,7200,4200
1014,2024-02-10,Monitor 24inch,Electronics,South,Priya Sharma,4,14000,9000,56000,20000
1015,2024-02-13,Ergonomic Chair,Furniture,East,Anil Reddy,2,12000,8000,24000,8000
1016,2024-02-15,Printer Paper Ream,Stationery,West,Sneha Patel,25,350,150,8750,5000
1017,2024-02-18,Webcam HD,Electronics,North,Ravi Kumar,9,2800,1600,25200,10800
1018,2024-02-20,Coffee Table,Furniture,South,Priya Sharma,1,5500,3500,5500,2000
1019,2024-02-22,Stapler,Stationery,East,Anil Reddy,20,450,200,9000,5000
1020,2024-02-25,Bluetooth Speaker,Electronics,West,Sneha Patel,7,4200,2500,29400,11900
1021,2024-03-01,USB-C Hub,Electronics,North,Ravi Kumar,11,1200,700,13200,5500
1022,2024-03-04,Standing Desk,Furniture,South,Priya Sharma,3,18000,12000,54000,18000
1023,2024-03-06,Notebook A4,Stationery,East,Anil Reddy,70,120,60,8400,4200
1024,2024-03-10,Laptop Stand,Electronics,West,Sneha Patel,14,2200,1300,30800,12600
1025,2024-03-12,Office Chair,Furniture,North,Ravi Kumar,4,7500,5000,30000,10000
1026,2024-03-15,Sticky Notes Pack,Stationery,South,Priya Sharma,55,150,60,8250,4950
1027,2024-03-18,Monitor 24inch,Electronics,East,Anil Reddy,5,14000,9000,70000,25000
1028,2024-03-20,File Cabinet,Furniture,West,Sneha Patel,2,9500,6500,19000,6000
1029,2024-03-22,Ballpoint Pens (Pack),Stationery,North,Ravi Kumar,45,200,80,9000,5400
1030,2024-03-25,Mechanical Keyboard,Electronics,South,Priya Sharma,8,3500,2000,28000,12000
1031,2024-04-02,Wireless Mouse,Electronics,West,Sneha Patel,18,850,500,15300,6300
1032,2024-04-05,Bookshelf,Furniture,North,Ravi Kumar,3,6500,4200,19500,6900
1033,2024-04-08,Highlighters Set,Stationery,South,Priya Sharma,35,180,75,6300,3675
1034,2024-04-10,Webcam HD,Electronics,East,Anil Reddy,12,2800,1600,33600,14400
1035,2024-04-14,Ergonomic Chair,Furniture,West,Sneha Patel,3,12000,8000,36000,12000
